InputType,Image,Question,Answer
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n260521.jpg,What is the vehicle that the fence is in front of called?,car
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n259002.jpg,Which kind of vehicle are the trees behind of?,car
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n222915.jpg,Which kind of furniture is the mat sitting on?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n171169.jpg,"What animal are the trees behind of, a sheep or a horse?",horse
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n293477.jpg,"What is the snack lying on top of, a bookcase or a bed?",bed
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n16425.jpg,"What vehicle is the telephone pole behind of, a train or a bus?",bus
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n181355.jpg,Which kind of furniture is behind the coffee table?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n262920.jpg,What are the devices that are in front of the cords called?,laptops
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n542609.jpg,What vehicle is parked at the train station?,train
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n249639.jpg,Is there any towel near the sink?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n202379.jpg,Are there boys in front of the fence that looks long?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n494677.jpg,Is there any elephant on the field?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n153118.jpg,Are there any American flags on the pole that is not short?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n434283.jpg,Are there bookcases above the sand?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n309148.jpg,Is there a traffic light in front of the bridge that is crossing the street?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n411121.jpg,Are there any people to the left of the vehicle in the center of the picture?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n429883.jpg,Are there any women to the left of the man the light fixture is facing?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n470920.jpg,Are there men to the right of the woman that is wearing trousers?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n470920.jpg,Is the laptop computer to the right or to the left of the person that is sitting beside the gift?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n554880.jpg,Is the chair to the left or to the right of the cellphone?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n554880.jpg,Is the plastic keyboard to the left or to the right of the chair on the left side?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n554880.jpg,What is the sleepy dog sitting atop?,seat
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n318370.jpg,What is the person next to the sign eating?,donut
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n507959.jpg,Behind what is the person that is to the left of the palm sitting?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n79078.jpg,Who is standing beside the tree that is not short?,man
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n14087.jpg,What is in front of the wood wall?,tree
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n54424.jpg,What is in front of the wall?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n14087.jpg,Are the white curtains behind the comfortable couch?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n532213.jpg,Is the street sign that looks black and white hanging above a man?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n250821.jpg,Is the black cable on the paper?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n160664.jpg,Is the forest behind an elephant?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n541482.jpg,Is the woman wearing glasses?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n44249.jpg,Is the man on a skateboard?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n571179.jpg,Is the man to the left of the woman?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n483840.jpg,Is the man to the right of a car?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n318370.jpg,Is the bottle to the right of the person next to the windows?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n433532.jpg,What is the name of the piece of furniture that is made of the same material as the spoon to the left of her?,shelf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n55058.jpg,What is the cooking utensil that is made of same material as the rectangular table called?,cutting board
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n530733.jpg,What bag is made of the same material as the trash can beside the wall?,trash bag
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n173807.jpg,How is the sign that is the same color as the chimney called?,street sign
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n567860.jpg,What fruit has the same color as the banana bunch?,banana
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLP/n181210.jpg,What is the name of the fruit that has the same shape as the lid on top of the cup?,orange
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n536256.jpg,Which kind of device does the man used?,wii controller
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n88933.jpg,What kind of fast food does the person that to the right of the food eat?,hamburger
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n290409.jpg,What kind of vehicle are the trees behind of?,truck
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n413002.jpg,"What fruits is the woman holding, oranges or bananas?",bananas
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n314630.jpg,"What is the house made of wood sitting beside, a toaster or a coffee maker?",toaster
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n233607.jpg,Which kind of furniture is sitting beside the shelf?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n309148.jpg,What kind of vehicle is parked on the street?,truck
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n264887.jpg,What device is behind the headphones?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n572716.jpg,Are there airplanes behind the long runway?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n314630.jpg,Are there any houses to the left of the paper towel?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n526228.jpg,Are there any phones to the left of the man below the frame?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n494918.jpg,Is there a fence in front of the trees?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n219840.jpg,Do you see any giraffes to the right of the animals that are to the right of the zebra?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n571179.jpg,Are there any skiers on the snow?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n146522.jpg,Are there balls to the right of the boy in this image?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n538684.jpg,Are there umpires to the right of the batter?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n435808.jpg,Are there any monitors to the right of the black object which sits on top of the mousepad?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n6309.jpg,Is the car to the left or to the right of the cart?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n100991.jpg,Is the napkin to the left or to the right of the plate?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n573460.jpg,Is the umpire to the left or to the right of the person that holds the racket?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n274905.jpg,Who is the person that is standing standing behind of?,player
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n187961.jpg,What is the child wearing?,jacket
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n470920.jpg,What do you think does the man to the left of the berries sit atop?,blanket
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n258500.jpg,Who is wearing a hair band?,skater
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n532213.jpg,Who is walking across the crosswalk?,man
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n319845.jpg,What is in front of the statue in the middle of the picture?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n240973.jpg,Are the shelves above a bowl?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n187544.jpg,Is the happy person to the right of the frisbee that looks round?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n119944.jpg,Does the woman that is not thin sit on a bench?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n143672.jpg,Is the skier that is not female wearing gloves?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n143672.jpg,Does the skier that is not female wear a glove?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n140421.jpg,Are the curtains to the right of a shelf?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n118102.jpg,Is the knife to the left of the girl?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n441859.jpg,Is the surf board to the right of the person who is wearing a hat?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n527290.jpg,Is the rug to the left of the happy person?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n311910.jpg,What kind of sign is made of the same material as the vehicle next to the sidewalk?,street sign
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n486200.jpg,What is the name of the sign that is made of the same material as the vehicle on the right of the picture?,traffic sign
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n68769.jpg,What type of furniture is made of the same material as the white ceiling?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n513429.jpg,What kind of device is the same color as the device on the desk?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n507959.jpg,What watercraft has the same color as the shirts in this image?,boats
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n67005.jpg,What is the item of furniture that is the same color as the cord called?,bed
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n536256.jpg,Which kind of device does the man used?,controller
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n88933.jpg,What kind of fast food does the person that to the right of the food eat?,pizza
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n290409.jpg,What kind of vehicle are the trees behind of?,bus
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n413002.jpg,"What fruits is the woman holding, oranges or bananas?",oranges
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n314630.jpg,"What is the house made of wood sitting beside, a toaster or a coffee maker?",coffee maker
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n233607.jpg,Which kind of furniture is sitting beside the shelf?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n309148.jpg,What kind of vehicle is parked on the street?,fire truck
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n264887.jpg,What device is behind the headphones?,computer
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n572716.jpg,Are there airplanes behind the long runway?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n314630.jpg,Are there any houses to the left of the paper towel?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n526228.jpg,Are there any phones to the left of the man below the frame?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n494918.jpg,Is there a fence in front of the trees?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n219840.jpg,Do you see any giraffes to the right of the animals that are to the right of the zebra?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n571179.jpg,Are there any skiers on the snow?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n146522.jpg,Are there balls to the right of the boy in this image?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n538684.jpg,Are there umpires to the right of the batter?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n435808.jpg,Are there any monitors to the right of the black object which sits on top of the mousepad?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n6309.jpg,Is the car to the left or to the right of the cart?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n100991.jpg,Is the napkin to the left or to the right of the plate?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n573460.jpg,Is the umpire to the left or to the right of the person that holds the racket?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n274905.jpg,Who is the person that is standing standing behind of?,girl
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n187961.jpg,What is the child wearing?,shirt
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n470920.jpg,What do you think does the man to the left of the berries sit atop?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n258500.jpg,Who is wearing a hair band?,man
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n532213.jpg,Who is walking across the crosswalk?,woman
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n319845.jpg,What is in front of the statue in the middle of the picture?,window
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n240973.jpg,Are the shelves above a bowl?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n187544.jpg,Is the happy person to the right of the frisbee that looks round?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n119944.jpg,Does the woman that is not thin sit on a bench?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n143672.jpg,Is the skier that is not female wearing gloves?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n143672.jpg,Does the skier that is not female wear a glove?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n140421.jpg,Are the curtains to the right of a shelf?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n118102.jpg,Is the knife to the left of the girl?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n441859.jpg,Is the surf board to the right of the person who is wearing a hat?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n527290.jpg,Is the rug to the left of the happy person?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n311910.jpg,What kind of sign is made of the same material as the vehicle next to the sidewalk?,traffic sign
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n486200.jpg,What is the name of the sign that is made of the same material as the vehicle on the right of the picture?,street sign
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n68769.jpg,What type of furniture is made of the same material as the white ceiling?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n513429.jpg,What kind of device is the same color as the device on the desk?,computer mouse
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n507959.jpg,What watercraft has the same color as the shirts in this image?,boat
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLP/n67005.jpg,What is the item of furniture that is the same color as the cord called?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n460385.jpg,What do you think is the piece of furniture that the smiling woman is sitting on?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n125122.jpg,Which kind of furniture is the chair in front of?,bed
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n250715.jpg,What kind of aircraft is the device that is not turned-off mounted to?,airplane
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n88933.jpg,"What type of furniture is the happy girl sitting in, a sofa or a desk?",table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n71728.jpg,"What piece of furniture is the man that is to the left of the bowl leaning on, a table or a couch?",chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n59147.jpg,"What type of furniture is the white thing to the right of the chair resting on, a bookcase or a table?",ottoman
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n578564.jpg,What kind of cooking utensil is above the flower pot?,ladle
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n357784.jpg,Which kind of animal is in front of the mirror?,dog
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n35676.jpg,What are the pieces of furniture that are to the left of the cabinets on the right side?,cabinets
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n357784.jpg,Do you see any cat in front of the person that is in front of the mirror?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n259002.jpg,Are there trash cans to the left of the soccer player that is kicking the ball?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n124651.jpg,Is there a bicycle to the right of the white vehicle?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n166008.jpg,Is there any fork next to the plate?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n309148.jpg,Are there tractors on the street?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n222915.jpg,Is there a hamburger next to the cooked vegetable?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n511913.jpg,Is there a table in front of the person that is wearing jeans?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n574498.jpg,Is there a fence in front of him?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n88933.jpg,Do you see any food to the right of the person that wears a sandal?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n313060.jpg,Is the short person to the right or to the left of the bag below the table?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n49310.jpg,Are the glasses to the left or to the right of the person the woman is sitting next to?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n90294.jpg,Is the remote to the right or to the left of the book?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n497789.jpg,Where are the people?,truck
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n472825.jpg,What is the skateboarder to the right of the lamp wearing?,pants
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n355339.jpg,Who is the chair in front of?,guy
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n373692.jpg,Who is carrying the baseball mitt?,men
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n271392.jpg,What is in front of the old people?,building
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n331357.jpg,What animal is standing next to the large mother?,cow
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n16656.jpg,Is the Caucasian person in front of the tree the sky is behind of?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n223750.jpg,Is she wearing a skirt?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n77818.jpg,Is the TV on top of an entertainment center?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n314630.jpg,Is the house sitting beside a blender?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n37274.jpg,Is the man that is to the left of the liquor wearing gloves?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n369970.jpg,Is the snowboarder wearing a hat?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n9856.jpg,Is the tall tree behind the fence made of metal?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n58220.jpg,Is the man to the left of the flag?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n293477.jpg,What device is made of the same material as the hair clip that is lying on top of the bed?,phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n256120.jpg,What is the vehicle that is made of same material as the pole that is not short called?,truck
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n350766.jpg,What kind of cooking utensil is the same color as the stove top that is made of chrome?,cutting board
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n14087.jpg,What kind of furniture has the same color as the tree in front of the wall?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n207708.jpg,What is the name of the item of furniture that is the same color as the door that is not short?,bookshelf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n460385.jpg,What do you think is the piece of furniture that the smiling woman is sitting on?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n125122.jpg,Which kind of furniture is the chair in front of?,desk
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n250715.jpg,What kind of aircraft is the device that is not turned-off mounted to?,helicopter
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n88933.jpg,"What type of furniture is the happy girl sitting in, a sofa or a desk?",sofa
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n71728.jpg,"What piece of furniture is the man that is to the left of the bowl leaning on, a table or a couch?",table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n59147.jpg,"What type of furniture is the white thing to the right of the chair resting on, a bookcase or a table?",table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n578564.jpg,What kind of cooking utensil is above the flower pot?,pan
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n357784.jpg,Which kind of animal is in front of the mirror?,cat
