InputType,Image,Question,Answer
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n35676.jpg,What are the pieces of furniture that are to the left of the cabinets on the right side?,drawers
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n357784.jpg,Do you see any cat in front of the person that is in front of the mirror?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n259002.jpg,Are there trash cans to the left of the soccer player that is kicking the ball?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n124651.jpg,Is there a bicycle to the right of the white vehicle?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n166008.jpg,Is there any fork next to the plate?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n309148.jpg,Are there tractors on the street?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n222915.jpg,Is there a hamburger next to the cooked vegetable?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n511913.jpg,Is there a table in front of the person that is wearing jeans?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n574498.jpg,Is there a fence in front of him?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n88933.jpg,Do you see any food to the right of the person that wears a sandal?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n313060.jpg,Is the short person to the right or to the left of the bag below the table?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n49310.jpg,Are the glasses to the left or to the right of the person the woman is sitting next to?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n90294.jpg,Is the remote to the right or to the left of the book?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n497789.jpg,Where are the people?,field
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n472825.jpg,What is the skateboarder to the right of the lamp wearing?,jeans
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n355339.jpg,Who is the chair in front of?,people
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n373692.jpg,Who is carrying the baseball mitt?,player
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n271392.jpg,What is in front of the old people?,car
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n331357.jpg,What animal is standing next to the large mother?,calf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n16656.jpg,Is the Caucasian person in front of the tree the sky is behind of?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n223750.jpg,Is she wearing a skirt?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n77818.jpg,Is the TV on top of an entertainment center?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n314630.jpg,Is the house sitting beside a blender?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n37274.jpg,Is the man that is to the left of the liquor wearing gloves?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n369970.jpg,Is the snowboarder wearing a hat?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n9856.jpg,Is the tall tree behind the fence made of metal?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n58220.jpg,Is the man to the left of the flag?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n293477.jpg,What device is made of the same material as the hair clip that is lying on top of the bed?,cell phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n256120.jpg,What is the vehicle that is made of same material as the pole that is not short called?,van
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n350766.jpg,What kind of cooking utensil is the same color as the stove top that is made of chrome?,coffee pot
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n14087.jpg,What kind of furniture has the same color as the tree in front of the wall?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BPLN/n207708.jpg,What is the name of the item of furniture that is the same color as the door that is not short?,bookcase
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n315887.jpg,What device is the computer behind of?,phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n477702.jpg,What is the item of furniture that the bald man is sitting on?,sofa
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n54424.jpg,What kind of vehicle is the shirt decorated with?,shuttle
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n357784.jpg,"What is this woman behind of, a cat or a dog?",cat
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n100991.jpg,What are the vegetables to the right of the yellow fruit?,beans
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n181355.jpg,Which kind of furniture is in front of the couch?,coffee table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n264887.jpg,What device is on the desk?,headphones
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n97485.jpg,Are there chairs below the table?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n187961.jpg,Is there a goat near the child?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n507959.jpg,Are there cabinets to the left of the standing people that are standing behind the luggage?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n578564.jpg,Are there coffee makers below the chalkboard near the artwork?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n140421.jpg,Are there vases to the right of the curtains?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n413002.jpg,Are there bears to the right of the bananas?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n124651.jpg,Is there a bus to the right of the bicycle?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n12214.jpg,Are there cars to the right of the skateboard?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n6309.jpg,Are there any horses in front of the white fence?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n167552.jpg,Is the wood chair to the left or to the right of the shelf in the top of the image?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n262929.jpg,Is the young person to the left or to the right of the bag that is not big?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n23762.jpg,Is the plate to the right or to the left of the vase that is in front of the person?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n77818.jpg,What is the cat in front of?,tissue box
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n414992.jpg,What is the man that looks happy wearing?,trunks
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n148872.jpg,The skinny girl is standing where?,ground
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n6309.jpg,Who is guiding the horse that is attached to the cart?,jockey
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n58220.jpg,What is in front of the shirt he is wearing?,tie
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n130638.jpg,Who is in front of the young boy?,batter
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n393305.jpg,Is the young girl wearing a skirt?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n140421.jpg,Is the cupboard to the left of the chandelier made of metal?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n127705.jpg,Is the woman that is standing holding a racket?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n412144.jpg,Is the skateboarder above the skatepark wearing knee pads?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n566028.jpg,Is the person that is looking down wearing a coat?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n470920.jpg,Is the woman to the right of the berries holding a baby?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n200225.jpg,Is the leafy vegetable to the left of the yellow food?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n216553.jpg,Is the brown horse in front of the leafy trees?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n281241.jpg,Is the man to the right of a gentleman?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n275148.jpg,What is the item of furniture that is made of same material as the storage box that is not empty called?,desk
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n526228.jpg,What type of device is made of the same material as the remote the man is to the left of?,phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n77818.jpg,What is the name of the piece of furniture that is made of the same material as the pepper grinder on the right?,entertainment center
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n246334.jpg,What is the name of the item of furniture that is the same shape as the mirror?,nightstand
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n184385.jpg,What is the vegetable that is the same shape as the stove top called?,potato
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n554880.jpg,What device is the same color as the lamp?,cell phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n315887.jpg,What device is the computer behind of?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n477702.jpg,What is the item of furniture that the bald man is sitting on?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n54424.jpg,What kind of vehicle is the shirt decorated with?,train
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n357784.jpg,"What is this woman behind of, a cat or a dog?",dog
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n100991.jpg,What are the vegetables to the right of the yellow fruit?,potatoes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n181355.jpg,Which kind of furniture is in front of the couch?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n264887.jpg,What device is on the desk?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n97485.jpg,Are there chairs below the table?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n187961.jpg,Is there a goat near the child?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n507959.jpg,Are there cabinets to the left of the standing people that are standing behind the luggage?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n578564.jpg,Are there coffee makers below the chalkboard near the artwork?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n140421.jpg,Are there vases to the right of the curtains?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n413002.jpg,Are there bears to the right of the bananas?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n124651.jpg,Is there a bus to the right of the bicycle?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n12214.jpg,Are there cars to the right of the skateboard?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n6309.jpg,Are there any horses in front of the white fence?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n167552.jpg,Is the wood chair to the left or to the right of the shelf in the top of the image?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n262929.jpg,Is the young person to the left or to the right of the bag that is not big?,right
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n23762.jpg,Is the plate to the right or to the left of the vase that is in front of the person?,left
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n77818.jpg,What is the cat in front of?,television
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n414992.jpg,What is the man that looks happy wearing?,shorts
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n148872.jpg,The skinny girl is standing where?,floor
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n6309.jpg,Who is guiding the horse that is attached to the cart?,man
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n58220.jpg,What is in front of the shirt he is wearing?,window
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n130638.jpg,Who is in front of the young boy?,player
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n393305.jpg,Is the young girl wearing a skirt?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n140421.jpg,Is the cupboard to the left of the chandelier made of metal?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n127705.jpg,Is the woman that is standing holding a racket?,no
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n412144.jpg,Is the skateboarder above the skatepark wearing knee pads?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n566028.jpg,Is the person that is looking down wearing a coat?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n470920.jpg,Is the woman to the right of the berries holding a baby?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n200225.jpg,Is the leafy vegetable to the left of the yellow food?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n216553.jpg,Is the brown horse in front of the leafy trees?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n281241.jpg,Is the man to the right of a gentleman?,yes
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n275148.jpg,What is the item of furniture that is made of same material as the storage box that is not empty called?,coffee table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n526228.jpg,What type of device is made of the same material as the remote the man is to the left of?,remote control
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n77818.jpg,What is the name of the piece of furniture that is made of the same material as the pepper grinder on the right?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n246334.jpg,What is the name of the item of furniture that is the same shape as the mirror?,bed
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n184385.jpg,What is the vegetable that is the same shape as the stove top called?,carrot
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NNS/n554880.jpg,What device is the same color as the lamp?,camera
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n37274.jpg,What is the drink that the cup to the right of the man is full of called?,liquor
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n460385.jpg,What kind of furniture is the woman in front of?,shelf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n326988.jpg,Which kind of furniture are the glasses inside of?,cabinets
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n554880.jpg,"What is the person to the left of the laptop sitting in front of, a couch or a desk?",couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n186491.jpg,How is the food to the left of the drink in the middle of the photo called?,sandwich
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n233607.jpg,How is the device that is perched on the table called?,computer
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n296467.jpg,Which kind of vegetable is to the right of the dip?,beans
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n28572.jpg,What is the fork in front of?,mug
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n130464.jpg,What is the skateboarder that is not female jumping off of?,pavement
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n386688.jpg,In front of what is the ocean?,trees
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n83784.jpg,What's located on top of the side table?,plant
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n159802.jpg,Who is pointing at the pink thing to the left of the water bottle?,girl
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n293477.jpg,What's lying beside the cell phone?,powder
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n344136.jpg,What kind of furniture is made of the same material as the window frame that looks white?,bookcase
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n398257.jpg,What kind of device is made of the same material as the device above the desk?,computer monitor
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n578564.jpg,What type of cooking utensil is made of the same material as the picture on the left side of the image?,cutting board
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n170941.jpg,What is the name of the food that has the same shape as the coffee mug?,pancake
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n433692.jpg,What kind of device is the same color as the tall lamp?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n546616.jpg,What is the name of the food that has the same color as the dessert near the plates?,marshmallow
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n37274.jpg,What is the drink that the cup to the right of the man is full of called?,juice
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n460385.jpg,What kind of furniture is the woman in front of?,table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n326988.jpg,Which kind of furniture are the glasses inside of?,cabinet
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n554880.jpg,"What is the person to the left of the laptop sitting in front of, a couch or a desk?",table
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n186491.jpg,How is the food to the left of the drink in the middle of the photo called?,pastry
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n233607.jpg,How is the device that is perched on the table called?,laptop
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n296467.jpg,Which kind of vegetable is to the right of the dip?,peas
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n28572.jpg,What is the fork in front of?,glass
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n130464.jpg,What is the skateboarder that is not female jumping off of?,ground
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n386688.jpg,In front of what is the ocean?,buildings
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n83784.jpg,What's located on top of the side table?,vase
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n159802.jpg,Who is pointing at the pink thing to the left of the water bottle?,child
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n293477.jpg,What's lying beside the cell phone?,wallet
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n344136.jpg,What kind of furniture is made of the same material as the window frame that looks white?,couch
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n398257.jpg,What kind of device is made of the same material as the device above the desk?,keyboard
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n578564.jpg,What type of cooking utensil is made of the same material as the picture on the left side of the image?,ladle
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n170941.jpg,What is the name of the food that has the same shape as the coffee mug?,egg
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n433692.jpg,What kind of device is the same color as the tall lamp?,laptop
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n546616.jpg,What is the name of the food that has the same color as the dessert near the plates?,pastry
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n37274.jpg,What is the drink that the cup to the right of the man is full of called?,wine
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n460385.jpg,What kind of furniture is the woman in front of?,chair
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n326988.jpg,Which kind of furniture are the glasses inside of?,bookshelf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n554880.jpg,"What is the person to the left of the laptop sitting in front of, a couch or a desk?",desk
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n186491.jpg,How is the food to the left of the drink in the middle of the photo called?,bagel
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n233607.jpg,How is the device that is perched on the table called?,television
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n296467.jpg,Which kind of vegetable is to the right of the dip?,carrots
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n28572.jpg,What is the fork in front of?,book
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n130464.jpg,What is the skateboarder that is not female jumping off of?,train
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n386688.jpg,In front of what is the ocean?,sailboat
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n83784.jpg,What's located on top of the side table?,pot
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n159802.jpg,Who is pointing at the pink thing to the left of the water bottle?,man
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n293477.jpg,What's lying beside the cell phone?,book
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n344136.jpg,What kind of furniture is made of the same material as the window frame that looks white?,bookshelf
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n398257.jpg,What kind of device is made of the same material as the device above the desk?,phone
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n578564.jpg,What type of cooking utensil is made of the same material as the picture on the left side of the image?,pan
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n170941.jpg,What is the name of the food that has the same shape as the coffee mug?,butter
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n433692.jpg,What kind of device is the same color as the tall lamp?,monitor
101,https://github.com/Alighardash/Human-Judgment/blob/main/BNLN/NND/n546616.jpg,What is the name of the food that has the same color as the dessert near the plates?,fruit
